cell_id,center_x_m,center_y_m,width_m,height_m,target_rate_kg_ha,zone_id
R01C01,1.5,1.5,3,3,120,EL
R01C02,4.5,1.5,3,3,191,L
R01C03,7.5,1.5,3,3,555,M
R01C04,10.5,1.5,3,3,885,H
R01C05,13.5,1.5,3,3,1380,EH
R02C01,1.5,4.5,3,3,150,EL
R02C02,4.5,4.5,3,3,240,L
R02C03,7.5,4.5,3,3,620,M
R02C04,10.5,4.5,3,3,960,H
R02C05,13.5,4.5,3,3,1450,EH
R03C01,1.5,7.5,3,3,170,EL
R03C02,4.5,7.5,3,3,320,L
R03C03,7.5,7.5,3,3,720,M
R03C04,10.5,7.5,3,3,1100,H
R03C05,13.5,7.5,3,3,1550,EH
R04C01,1.5,10.5,3,3,180,EL
R04C02,4.5,10.5,3,3,420,L
R04C03,7.5,10.5,3,3,820,M
R04C04,10.5,10.5,3,3,1260,H
R04C05,13.5,10.5,3,3,1650,EH
R05C01,1.5,13.5,3,3,185,EL
R05C02,4.5,13.5,3,3,520,L
R05C03,7.5,13.5,3,3,880,M
R05C04,10.5,13.5,3,3,1370,H
R05C05,13.5,13.5,3,3,1750,EH
R06C01,1.5,16.5,3,3,189,EL
R06C02,4.5,16.5,3,3,550,L
R06C03,7.5,16.5,3,3,884,M
R06C04,10.5,16.5,3,3,1372,H
R06C05,13.5,16.5,3,3,1850,EH
