cell_id,center_x_m,center_y_m,width_m,height_m,target_rate_kg_ha,zone_id
R01C01,1.5,1.5,3,3,120,ELF
R01C02,4.5,1.5,3,3,170,ELN
R01C03,7.5,1.5,3,3,191,L
R01C04,10.5,1.5,3,3,560,M
R01C05,13.5,1.5,3,3,885,H
R01C06,16.5,1.5,3,3,1380,EH
R02C01,1.5,4.5,3,3,128,ELF
R02C02,4.5,4.5,3,3,175,ELN
R02C03,7.5,4.5,3,3,220,L
R02C04,10.5,4.5,3,3,620,M
R02C05,13.5,4.5,3,3,960,H
R02C06,16.5,4.5,3,3,1450,EH
R03C01,1.5,7.5,3,3,136,ELF
R03C02,4.5,7.5,3,3,180,ELN
R03C03,7.5,7.5,3,3,260,L
R03C04,10.5,7.5,3,3,720,M
R03C05,13.5,7.5,3,3,1100,H
R03C06,16.5,7.5,3,3,1550,EH
R04C01,1.5,10.5,3,3,144,ELF
R04C02,4.5,10.5,3,3,185,ELN
R04C03,7.5,10.5,3,3,320,L
R04C04,10.5,10.5,3,3,820,M
R04C05,13.5,10.5,3,3,1260,H
R04C06,16.5,10.5,3,3,1650,EH
R05C01,1.5,13.5,3,3,150,ELF
R05C02,4.5,13.5,3,3,188,ELN
R05C03,7.5,13.5,3,3,420,L
R05C04,10.5,13.5,3,3,850,M
R05C05,13.5,13.5,3,3,1300,H
R05C06,16.5,13.5,3,3,1750,EH
R06C01,1.5,16.5,3,3,152,ELF
R06C02,4.5,16.5,3,3,189,ELN
R06C03,7.5,16.5,3,3,550,L
R06C04,10.5,16.5,3,3,880,M
R06C05,13.5,16.5,3,3,1370,H
R06C06,16.5,16.5,3,3,1850,EH
